time_s,detected_x_m,detected_y_m,true_x_m,true_y_m,position_error_m,detected_z_m
10.200000000000001,2.5396776066910363,-3.7605356573519404,2.541000000000001,-3.761400000000001,0.0015798140007135572,1.2580146754250277
10.4,2.586300228567496,-4.027041313555636,2.5840000000000005,-4.025600000000001,0.0027144863654808248,1.2446179797193277
10.600000000000001,2.6290133748444293,-4.289630232212683,2.629000000000001,-4.292600000000002,0.002969797905087604,1.2328548574254032
10.8,2.675371443218093,-4.560917048650739,2.676,-4.562400000000001,0.0016106608371593283,1.2228005523830436
11.0,2.725207314261657,-4.833530730123417,2.7250000000000005,-4.835,0.0014838238350016804,1.2145193778331453
11.200000000000001,2.7758817446722746,-5.108165363774618,2.7760000000000007,-5.110400000000002,0.0022377630308712477,1.2080643050324478
11.4,2.8273003592997488,-5.387212567006524,2.8290000000000006,-5.3886,0.0021940257111844374,1.2034766244182609
11.600000000000001,2.8869496585595873,-5.6708025982562855,2.8840000000000003,-5.669600000000003,0.0031853929403072414,1.200785681490572
11.8,2.9373852781415453,-5.952916005004827,2.9410000000000003,-5.953400000000001,0.003646980294619951,1.2000086891009927
12.0,3.002295633547134,-6.241490618989473,3.0000000000000004,-6.24,0.0027371295830671397,1.2011506173492479
